hidden,latent,layers,nonlinearity,layertype,β,method,anomaliesSeen,auc,ar,i,model,dataset
32,3,3,relu,Dense,0.1,lklh,4,0.8585830035801769,0.005,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,5,0.8628226870171473,0.005,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,1,0.83192010552101,0.05,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,2,0.8240060297719992,0.05,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,3,0.8324853966459393,0.05,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,4,0.8282457132089693,0.05,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,5,0.8320143207084982,0.05,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,1,0.8883550028264555,0.01,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,2,0.8762012436404749,0.01,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,3,0.8778971170152629,0.01,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,4,0.8825136612021858,0.01,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,5,0.8857169775767852,0.01,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,1,0.8755417373280573,0.005,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,2,0.8749764462031279,0.005,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,3,0.8746938006406633,0.005,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,4,0.8769549651403806,0.005,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,wass,5,0.8719615602035048,0.005,1,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,1,0.8162803843979649,0.05,2,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,2,0.8250423968343698,0.05,2,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,3,0.8291878650838516,0.05,2,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,4,0.8454870925193142,0.05,2,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,5,0.8387035990201621,0.05,2,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,1,0.8360655737704918,0.01,2,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,2,0.8270209157716224,0.01,2,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,3,0.851705294893537,0.01,2,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,4,0.8585830035801771,0.01,2,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,5,0.8619747503297532,0.01,2,svae,cardiotocography
32,3,3,relu,Dense,0.1,lklh,1,0.8125117768984361,0.005,2,svae,cardiotocography
