hidden,latent,layers,nonlinearity,layertype,β,anomaliesSeen,auc,aucpxv,ar,i,α,model,dataset
32,8,3,relu,Dense,0.01,3,0.7749419953596288,0.9953596287703016,0.05,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,4,0.7703016241299304,0.9953596287703016,0.05,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,5,0.7610208816705336,0.9953596287703016,0.05,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,1,0.8329466357308585,0.9953596287703016,0.01,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,2,0.8375870069605569,0.9953596287703016,0.01,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,3,0.8422273781902552,0.9953596287703016,0.01,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,4,0.8468677494199536,0.9953596287703016,0.01,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,5,0.839907192575406,0.9953596287703016,0.01,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,1,0.7192575406032482,0.988399071925754,0.01,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,2,0.7169373549883991,0.988399071925754,0.01,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,3,0.6937354988399071,0.988399071925754,0.01,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,4,0.6844547563805105,0.988399071925754,0.01,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,5,0.679814385150812,0.988399071925754,0.01,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,1,0.642691415313225,0.9930394431554525,0.01,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,2,0.6264501160092808,0.9930394431554525,0.01,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,3,0.617169373549884,0.9930394431554525,0.01,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,4,0.5916473317865429,0.9930394431554525,0.01,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,5,0.5614849187935035,0.9930394431554525,0.01,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,1,0.6983758700696056,0.9976798143851509,0.005,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,2,0.703016241299304,0.9976798143851509,0.005,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,3,0.7006960556844548,0.9976798143851509,0.005,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,4,0.6890951276102089,0.9976798143851509,0.005,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,5,0.6937354988399071,0.9976798143851509,0.005,2,0.25,svae,abalone
32,8,3,relu,Dense,0.01,1,0.7308584686774942,0.9976798143851509,0.005,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,2,0.7192575406032482,0.9976798143851509,0.005,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,3,0.7122969837587008,0.9976798143851509,0.005,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,4,0.7006960556844548,0.9976798143851509,0.005,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,5,0.6937354988399071,0.9976798143851509,0.005,2,0.5,svae,abalone
32,8,3,relu,Dense,0.01,1,0.7470997679814385,0.9953596287703016,0.005,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,2,0.7540603248259861,0.9953596287703016,0.005,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,3,0.7587006960556845,0.9953596287703016,0.005,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,4,0.7610208816705336,0.9953596287703016,0.005,2,0.75,svae,abalone
32,8,3,relu,Dense,0.01,5,0.7517401392111369,0.9953596287703016,0.005,2,0.75,svae,abalone
32,8,3,relu,Dense,0.1,1,0.654292343387471,0.9930394431554525,0.05,2,0.25,svae,abalone
32,8,3,relu,Dense,0.1,2,0.6566125290023201,0.9930394431554525,0.05,2,0.25,svae,abalone
32,8,3,relu,Dense,0.1,3,0.654292343387471,0.9930394431554525,0.05,2,0.25,svae,abalone
32,8,3,relu,Dense,0.1,4,0.6589327146171693,0.9930394431554525,0.05,2,0.25,svae,abalone
32,8,3,relu,Dense,0.1,5,0.6612529002320185,0.9930394431554525,0.05,2,0.25,svae,abalone
32,8,3,relu,Dense,0.1,1,0.5266821345707657,0.9930394431554525,0.05,2,0.5,svae,abalone
32,8,3,relu,Dense,0.1,2,0.49651972157772617,0.9930394431554525,0.05,2,0.5,svae,abalone
32,8,3,relu,Dense,0.1,3,0.4872389791183295,0.9930394431554525,0.05,2,0.5,svae,abalone
32,8,3,relu,Dense,0.1,4,0.4802784222737819,0.9930394431554525,0.05,2,0.5,svae,abalone
32,8,3,relu,Dense,0.1,5,0.494199535962877,0.9930394431554525,0.05,2,0.5,svae,abalone
32,8,3,relu,Dense,0.1,1,0.4733178654292344,0.9976798143851509,0.05,2,0.75,svae,abalone
32,8,3,relu,Dense,0.1,2,0.4617169373549884,0.9976798143851509,0.05,2,0.75,svae,abalone
32,8,3,relu,Dense,0.1,3,0.45707656612529,0.9976798143851509,0.05,2,0.75,svae,abalone
32,8,3,relu,Dense,0.1,4,0.45011600928074247,0.9976798143851509,0.05,2,0.75,svae,abalone
32,8,3,relu,Dense,0.1,5,0.4385150812064965,0.9976798143851509,0.05,2,0.75,svae,abalone
32,8,3,relu,Dense,0.1,1,0.16241299303944312,0.9953596287703016,0.01,2,0.25,svae,abalone
32,8,3,relu,Dense,0.1,2,0.16705336426914152,0.9953596287703016,0.01,2,0.25,svae,abalone
32,8,3,relu,Dense,0.1,3,0.16241299303944312,0.9953596287703016,0.01,2,0.25,svae,abalone
32,8,3,relu,Dense,0.1,4,0.15545243619489557,0.9953596287703016,0.01,2,0.25,svae,abalone
32,8,3,relu,Dense,0.1,5,0.15313225058004643,0.9953596287703016,0.01,2,0.25,svae,abalone
32,8,3,relu,Dense,0.1,1,0.5707656612529002,0.9930394431554525,0.01,2,0.5,svae,abalone
32,8,3,relu,Dense,0.1,2,0.5545243619489559,0.9930394431554525,0.01,2,0.5,svae,abalone
32,8,3,relu,Dense,0.1,3,0.5498839907192575,0.9930394431554525,0.01,2,0.5,svae,abalone
32,8,3,relu,Dense,0.1,4,0.5522041763341068,0.9930394431554525,0.01,2,0.5,svae,abalone
32,8,3,relu,Dense,0.1,5,0.5661252900232019,0.9930394431554525,0.01,2,0.5,svae,abalone
32,8,3,relu,Dense,0.1,1,0.4895591647331786,0.9953596287703016,0.01,2,0.75,svae,abalone
32,8,3,relu,Dense,0.1,2,0.4617169373549884,0.9953596287703016,0.01,2,0.75,svae,abalone
32,8,3,relu,Dense,0.1,3,0.4524361948955916,0.9953596287703016,0.01,2,0.75,svae,abalone
32,8,3,relu,Dense,0.1,4,0.4477958236658933,0.9953596287703016,0.01,2,0.75,svae,abalone
