dataset,prname,k,auc,anom_ratio
glass,px_κ,15,0.4640171858216971,0.05
glass,px_δ,15,0.44199785177228773,0.05
glass,px_γ,15,0.5155746509129968,0.05
glass,px_κ,21,0.42105263157894735,0.05
glass,px_δ,21,0.4401181525241675,0.05
glass,px_γ,21,0.48496240601503754,0.05
glass,px_κ,29,0.4183673469387755,0.05
glass,px_δ,29,0.4312567132116004,0.05
glass,px_γ,29,0.4634801288936628,0.05
glass,px_κ,39,0.41970998925886144,0.05
glass,px_δ,39,0.4116541353383458,0.05
glass,px_γ,39,0.44978517722878625,0.05
glass,px_κ,1,0.6890977443609023,0.01
glass,px_δ,1,0.4725563909774436,0.01
glass,px_γ,1,0.6890977443609023,0.01
glass,px_κ,3,0.6586466165413534,0.01
glass,px_δ,3,0.43007518796992483,0.01
glass,px_γ,3,0.6845864661654135,0.01
glass,px_κ,5,0.6046992481203007,0.01
glass,px_δ,5,0.42781954887218043,0.01
glass,px_γ,5,0.6590225563909774,0.01
glass,px_κ,9,0.5156015037593985,0.01
glass,px_δ,9,0.4334586466165414,0.01
glass,px_γ,9,0.6022556390977443,0.01
glass,px_κ,15,0.4904135338345865,0.01
glass,px_δ,15,0.45808270676691726,0.01
glass,px_γ,15,0.5462406015037594,0.01
glass,px_κ,21,0.44530075187969925,0.01
glass,px_δ,21,0.4563909774436089,0.01
glass,px_γ,21,0.5086466165413535,0.01
glass,px_κ,29,0.43778195488721805,0.01
glass,px_δ,29,0.43796992481203006,0.01
glass,px_γ,29,0.4825187969924811,0.01
glass,px_κ,39,0.4451127819548872,0.01
glass,px_δ,39,0.42443609022556394,0.01
glass,px_γ,39,0.468609022556391,0.01
glass,px_κ,1,0.7272556390977443,0.005
glass,px_δ,1,0.5180451127819549,0.005
glass,px_γ,1,0.7272556390977443,0.005
glass,px_κ,3,0.681390977443609,0.005
glass,px_δ,3,0.49718045112781956,0.005
glass,px_γ,3,0.7058270676691729,0.005
glass,px_κ,5,0.6390977443609022,0.005
glass,px_δ,5,0.4956766917293233,0.005
glass,px_γ,5,0.6823308270676692,0.005
glass,px_κ,9,0.5537593984962406,0.005
glass,px_δ,9,0.5050751879699249,0.005
glass,px_γ,9,0.6360902255639098,0.005
glass,px_κ,15,0.544548872180451,0.005
glass,px_δ,15,0.5225563909774436,0.005
