hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,Column1,mean auc,std auc,mean knnauc,std auc2
32,8,3,relu,Dense,32,16,0.1,3,0.363636364,0.925381572,0.24453087,0.324514153,0.825325042,0.636363636,0.24137931,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.226415094,0.831260599,0.219274993,0.252571144,0.884963256,1,0.137931034,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.243902439,0.83691351,0.222636914,0.22579861,0.860844168,0.7,0.24137931,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.285714286,0.817222536,0.257708843,0.32063455,0.896693047,0.5625,0.310344828,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,3,0.210526316,0.822168834,0.262103709,0.340446978,0.803184473,0.611111111,0.379310345,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.260869565,0.908140192,0.241478033,0.30238806,0.915112116,0.722222222,0.448275862,0.05,1,svae,cardiotocography,Worse,0.858135481,0.040422557,0.860509704,0.045202111
32,8,3,relu,Dense,32,16,0.1,4,0.163265306,0.817693612,0.237849894,0.351345379,0.899660825,0.769230769,0.344827586,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.340909091,0.878273978,0.232082513,0.390129658,0.903712078,0.647058824,0.379310345,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.214285714,0.889108724,0.243058981,0.294849515,0.804597701,0.7,0.24137931,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.048780488,0.794139815,0.234458194,0.242593227,0.811004334,0.75,0.310344828,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.210526316,0.921330318,0.24453087,0.324514153,0.825325042,0.636363636,0.24137931,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.25,0.841153194,0.219274993,0.252571144,0.884963256,1,0.137931034,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.196078431,0.832438289,0.222636914,0.22579861,0.860844168,0.7,0.24137931,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.254545455,0.852647447,0.257708843,0.32063455,0.896693047,0.5625,0.310344828,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,4,0.311111111,0.846429244,0.262103709,0.340446978,0.803184473,0.611111111,0.379310345,0.05,1,svae,cardiotocography,Better,,,,
